1,3
0,3
0,9
0,5
0,11
1,11
2,11
2,12
1,9
2,9
2,8
2,7
2,6
2,5
1,5
0,6
1,7
0,8
0,7
2,3
2,2
2,1
0,1
1,1
0,2
2,13
2,14
0,14
0,13
0,12
1,13
5,0
5,1
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
13,1
6,0
7,0
8,0
9,0
10,0
11,0
13,0
12,0
11,1
10,1
8,1
7,1
5,6
5,7
5,8
5,9
5,12
5,13
5,14
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
13,13
13,14
12,14
11,13
11,14
10,14
10,13
9,14
8,14
8,13
7,13
7,14
6,14
5,5
6,5
7,5
8,5
10,5
11,5
12,5
13,5
13,9
10,9
10,8
10,7
10,6
13,6
13,7
13,8
12,9
11,9
6,9
7,9
8,9
8,8
8,7
8,6
17,6
17,8
17,5
17,4
17,3
17,2
17,1
17,0
18,6
19,6
18,8
19,8
17,9
17,10
17,11
17,12
17,13
17,14
18,14
19,14
18,0
19,0
19,5
19,4
19,3
19,2
19,1
19,9
19,10
19,11
19,12
19,13
18,10
18,12
18,4
18,2
1,14
